Student,Vb1,Gr1,FCD1,IC1,Pn1,Vb2,Gr2,FCD2,IC2,Pn2,Age,ΔVb,ΔGr,ΔPn,ΔFCD,ΔIC,Δoverall
1,2,2,3,2.5,3,2.5,2,4,3,3.5,16,0.5,0,0.5,1,0.5,0.5
2,2,2,3.5,3.5,3,3,2.5,5,5,4,19,1,0.5,1,1.5,1.5,1.1
3,2.666667,2.333333,5,5,3,4,3.5,5,5,4,21,1.333333,1.166667,1,0,0,0.7
4,2.333333,2,4.666667,4,3.333333,3,2.333333,4.666667,4.333333,4,18,0.666667,0.333333,0.666667,0,0.333333,0.4
5,2.333333,2,4.666667,4,3,3.333333,4,4.666667,4.333333,4.666667,17,1,2,1.666667,0,0.333333,1
6,3,2.333333,4.666667,4.666667,3.333333,3,2.333333,4.666667,5,4,20,0,0,0.666667,0,0.333333,0.2
7,2.666667,3.333333,4,4,3,3.666667,3.666667,4.333333,5.333333,4.666667,18,1,0.333334,1.666667,0.333333,1.333333,0.9333334
8,2.666667,2.666667,4.666667,4,2.333333,3,4,5,4,3,15,0.333333,1.333333,0.666667,0.333333,0,0.5333332
9,3.333333,2.333333,4,3.333333,4,3,3,4.333333,4,4.666667,15,-0.333333,0.666667,0.666667,0.333333,0.666667,0.4000002
10,3,3,4,4,4.5,3.5,4,5,3.5,4.5,19,0.5,1,0,1,-0.5,0.4
11,2,2.333333,4.333333,2.666667,4.666667,3,3.666667,4.333333,4.333333,4.666667,21,1,1.333334,0,0,1.666666,0.8
12,3,2.666667,4.333333,3,3,3.333333,2.666667,4.666667,3.333333,3.333333,17,0.333333,0,0.333333,0.333334,0.333333,0.2666666
13,3,2.666667,5,4,3.333333,4,3,5,4,3.666667,20,1,0.333333,0.333334,0,0,0.3333334
14,3.75,4,5.5,5.75,4.75,3.5,5,5.5,4.5,5,22,-0.25,1,0.25,0,-1.25,-0.05
15,3,3.666667,4.666667,4.333333,3.666667,3,3.666667,4.666667,4,3.666667,19,0,0,0,0,-0.333333,-0.0666666
16,2.333333,2,3.666667,3.333333,2.666667,3,2,4.666667,3.666667,3.333333,18,0.666667,0,0.666666,1,0.333334,0.5333334
17,2.666667,2.666667,4,4,3.666667,3.333333,3,4.666667,4,4,14,0.666666,0.333333,0.333333,0.666667,0,0.3999998
18,2.666667,3.333333,5.333333,5,5,3,3.333333,5.333333,4.666667,5,16,0.333333,0,0,0,-0.333333,0
19,2.5,2,3,3.5,3,1.5,1.5,3,2.5,2.5,17,-1,-0.5,-0.5,0,-1,-0.6
20,3,2.666667,4.666667,4,3.333333,3,2.666667,4.333333,4,3.333333,18,0,0,0,-0.333334,0,-0.0666668
21,3,3,3.333333,4,3.333333,3.333333,3,4,4,3.666667,19,0.333333,0,0.333334,0.666667,0,0.2666668
22,3.333333,3.333333,5.333333,6,4.666667,3.333333,3.666667,5,4.666667,4,22,0,0.333334,-0.666667,-0.333333,-1.333333,-0.3999998
23,3,4,6,6,5,3,4,4,4,5,17,0,0,0,-2,-2,-0.8
24,3,2.333333,3,4,3.333333,3,2.666667,4,4.666667,3.666667,16,0,0.333334,0.333334,1,0.666667,0.466667
25,3,4,4,4,4,3,4,5,6,5,17,0,0,1,1,2,0.8
26,2.5,3,4.5,3.5,4,2.5,4,4,4,4.5,21,0,1,0.5,-0.5,0.5,0.3
